Label,Correct Count,False Positive Count,Total Count,False Positive Percentage
connecticut,1,1,2,50.0
florence,100,798,898,88.8641425389755
winnabow,1,0,1,0.0
north carolina,83,2,85,2.3529411764705883
wilmington,34,5,39,12.82051282051282
seven springs,1,0,1,0.0
florida,433,50,483,10.351966873706004
texas,220,30,250,12.0
puerto rico,408,18,426,4.225352112676056
kentucky,2,2,4,50.0
nc,84,3477,3561,97.64111204717776
sc,33,2046,2079,98.4126984126984
va,15,2412,2427,99.38195302843016
virginia,61,8,69,11.594202898550725
ocala,1,1,2,50.0
carolinas,60,33,93,35.483870967741936
hurricane florence,7,329,336,97.91666666666666
massachusetts,2,0,2,0.0
south carolina,66,3,69,4.3478260869565215
hampton roads,3,4,7,57.14285714285714
california,744,81,825,9.818181818181818
wrightsville beach museum,1,0,1,0.0
jenkintown,1,0,1,0.0
la,11,5807,5818,99.81093159161225
pacoima,1,0,1,0.0
raleigh,5,8,13,61.53846153846154
sampson county,2,1,3,33.33333333333333
richmond,3,0,3,0.0
northcarolina,26,2,28,7.142857142857142
lumberton,6,1,7,14.285714285714285
pembroke,1,0,1,0.0
fayetteville,9,1,10,10.0
orlando,24,6,30,20.0
pender county,1,0,1,0.0
virginias,2,0,2,0.0
holshouser building,1,0,1,0.0
n.c.,13,1,14,7.142857142857142
asheville,2,1,3,33.33333333333333
leland,5,3,8,37.5
carteret,1,3,4,75.0
craven county,1,1,2,50.0
american,7,167,174,95.97701149425288
winston-salem,1,0,1,0.0
southcarolina,22,1,23,4.3478260869565215
virginiabeach,1,0,1,0.0
georgia,50,6,56,10.714285714285714
maryland,312,12,324,3.7037037037037033
edisto beach,4,0,4,0.0
albemarle,1,0,1,0.0
pamlico,1,0,1,0.0
pamlico rivers,1,0,1,0.0
usa,52,337,389,86.63239074550128
nashville,7,1,8,12.5
u.s.,73,28,101,27.722772277227726
tennessee,10,1,11,9.090909090909092
atlantic,3,40,43,93.02325581395348
east mecklenburg hs,1,1,2,50.0
mecklenburg,3,1,4,25.0
north mecklenburg,1,0,1,0.0
arkansas,4,2,6,33.33333333333333
1025 blue ridge boulevard,1,0,1,0.0
virgin islands,7,21,28,75.0
the carolinas,3,56,59,94.91525423728814
beaufort,7,1,8,12.5
jasper,2,1,3,33.33333333333333
colleton,1,2,3,66.66666666666666
edisto island,1,0,1,0.0
conway,2,0,2,0.0
kansas city,1,0,1,0.0
rivermist,1,0,1,0.0
new hanover co,1,1,2,50.0
north myrtle beach,1,0,1,0.0
s.c.,3,3,6,50.0
fl,60,4605,4665,98.71382636655949
us,95,3824,3919,97.57591222250575
chesterfield county,1,0,1,0.0
eastcoast,2,2,4,50.0
newyork,1,6,7,85.71428571428571
carolina,14,265,279,94.98207885304659
charlotte,10,5,15,33.33333333333333
n tryon st north,1,0,1,0.0
michigan,6,0,6,0.0
pa,2,3162,3164,99.93678887484198
atlanta,30,8,38,21.052631578947366
onslow county,4,0,4,0.0
houston,156,57,213,26.76056338028169
ὂ5#northcarolina,1,0,1,0.0
lumbee river,1,0,1,0.0
alabama,10,1,11,9.090909090909092
pennsylvania,6,2,8,25.0
west virginia,7,3,10,30.0
fayette,1,13,14,92.85714285714286
gaithersburg,1,0,1,0.0
carolina coast,2,14,16,87.5
mishawaka,1,0,1,0.0
johnston,1,4,5,80.0
mexico city,178,51,229,22.270742358078603
boston,4,6,10,60.0
yanceyville,1,0,1,0.0
halifax,1,2,3,66.66666666666666
sandhills,1,0,1,0.0
st. louis,2,2,4,50.0
elm city,2,0,2,0.0
new york,20,10,30,33.33333333333333
@cityofnewbern,1,0,1,0.0
churchville,2,0,2,0.0
augusta co,1,0,1,0.0
augusta county,1,0,1,0.0
new hanover,1,1,2,50.0
wake county,1,1,2,50.0
jacksonville,35,0,35,0.0
lima,1,100,101,99.00990099009901
chicago,11,8,19,42.10526315789473
south carolinaan,1,0,1,0.0
north york,2,0,2,0.0
w wynn road,1,0,1,0.0
stafford park,1,0,1,0.0
north carolinians,4,0,4,0.0
united states,16,2,18,11.11111111111111
down east,1,0,1,0.0
hoggard high school,1,0,1,0.0
nevada,3,19,22,86.36363636363636
bailey coach,1,0,1,0.0
"55 south fayette st, york, pa 17404",1,0,1,0.0
u.s,5,102,107,95.32710280373831
university,1,14,15,93.33333333333333
new cumberland,1,0,1,0.0
louisiana,16,1,17,5.88235294117647
rocky mount,1,1,2,50.0
battleboro,1,0,1,0.0
appalachians,1,2,3,66.66666666666666
blue ridge monday,1,0,1,0.0
horry county,3,0,3,0.0
america,20,213,233,91.41630901287554
oklahoma,6,0,6,0.0
beverly,1,0,1,0.0
ma,2,8282,8284,99.97585707387735
1 wsw cedar point,1,0,1,0.0
carteret co,1,2,3,66.66666666666666
300 cedar point blvd,1,0,1,0.0
african,3,18,21,85.71428571428571
lokoja,1,0,1,0.0
nigeria,4,3,7,42.857142857142854
montgomery co,1,1,2,50.0
md-650 new hampshire avenue,1,0,1,0.0
us-29 colesville road,1,0,1,0.0
charleston county,2,0,2,0.0
dorchester county,1,0,1,0.0
columbia,5,7,12,58.333333333333336
tyrrellcounty,1,0,1,0.0
jonescounty,2,0,2,0.0
hydecounty,1,0,1,0.0
whoa. craven,1,0,1,0.0
new bern,8,4,12,33.33333333333333
dallas,11,4,15,26.666666666666668
wv,2,15,17,88.23529411764706
mecklenburg co,1,2,3,66.66666666666666
las vegas,3,0,3,0.0
chatham county,1,0,1,0.0
durham,3,6,9,66.66666666666666
florencenc,2,12,14,85.71428571428571
holden beach,1,0,1,0.0
swansboro,2,0,2,0.0
dear carolinas,1,0,1,0.0
tx,44,54,98,55.10204081632652
carteret county,1,0,1,0.0
sampson,1,7,8,87.5
niger,2,6,8,75.0
chenango,1,1,2,50.0
ny,5,1145,1150,99.56521739130434
watauga co,1,0,1,0.0
watauga,1,0,1,0.0
the intersection of deerfield road and bamboo road,1,0,1,0.0
boone,1,2,3,66.66666666666666
trenton,2,0,2,0.0
beulaville,1,0,1,0.0
atlantic ocean,2,1,3,33.33333333333333
harkers island,1,0,1,0.0
delta,1,5,6,83.33333333333334
3165 olentangy river rd,1,0,1,0.0
loudoun,3,0,3,0.0
san juans,2,0,2,0.0
monroe,2,7,9,77.77777777777779
fayettevillenc,1,1,2,50.0
cumberland,2,3,5,60.0
greenville,2,4,6,66.66666666666666
marion county,1,0,1,0.0
nj,5,578,583,99.14236706689536
cheraw,1,1,2,50.0
great pee dee river,1,0,1,0.0
ncs,1,3,4,75.0
now florence,1,0,1,0.0
smithville center,1,0,1,0.0
chenango co,1,1,2,50.0
orange co,1,5,6,83.33333333333334
camelot village near bolin creek,1,0,1,0.0
utah,3,3,6,50.0
lexington,1,0,1,0.0
northland,2,4,6,66.66666666666666
jamaica ave,1,0,1,0.0
pennsylvania ave,1,0,1,0.0
"city hall, 300 pollock st",1,0,1,0.0
north carolinas,1,0,1,0.0
hampton,2,6,8,75.0
trask middle school,1,1,2,50.0
codington elementary,1,0,1,0.0
delaware,5,0,5,0.0
west virginia.,1,1,2,50.0
philippines,2,0,2,0.0
d.c.,2,2,4,50.0
charleston,15,2,17,11.76470588235294
atlantic beach,2,0,2,0.0
orangeburg,2,0,2,0.0
cajun navy,1,6,7,85.71428571428571
lowcountry,1,1,2,50.0
seoul,1,0,1,0.0
saluda,1,0,1,0.0
creek road,1,1,2,50.0
etlan,2,1,3,33.33333333333333
wrightsville beach,2,1,3,33.33333333333333
appalachian,1,5,6,83.33333333333334
east coast,9,98,107,91.58878504672897
florences,1,15,16,93.75
cumberland county,1,1,2,50.0
sutton power plants,1,0,1,0.0
sutton lake,1,0,1,0.0
beltway,1,2,3,66.66666666666666
fairhope church,1,0,1,0.0
burgaw,1,1,2,50.0
tampa,6,11,17,64.70588235294117
miami,66,33,99,33.33333333333333
belmont,2,0,2,0.0
dc,3,397,400,99.25
mount olive,1,0,1,0.0
"washington, d.c.",1,0,1,0.0
appalachian mountains,1,1,2,50.0
merchants organization scholarship,1,0,1,0.0
mckamey animal center,1,1,2,50.0
eu,15,269,284,94.71830985915493
east tennessee,1,1,2,50.0
daytona beach,3,1,4,25.0
high point,1,1,2,50.0
indiana,4,3,7,42.857142857142854
nebraska,836,34,870,3.9080459770114944
northwestern,1,10,11,90.9090909090909
roanoke,2,0,2,0.0
danville,1,0,1,0.0
toronto,8,9,17,52.94117647058824
richmond street,1,0,1,0.0
sheppard street,1,0,1,0.0
mississippi,5,1,6,16.666666666666664
1 nnw rockfish,1,0,1,0.0
rockfish road,1,0,1,0.0
overlake road,1,0,1,0.0
pecan trace,1,0,1,0.0
myers squibb,1,0,1,0.0
rocky point,1,0,1,0.0
empress avenue b/w lane east yonge south kingsdale,1,0,1,0.0
cumberland co.,1,0,1,0.0
capital district,1,0,1,0.0
