,malformed_label,correct_label
0,Win,Winnabow
1,Carolina,Carolinas
2,R,RICHMOND
3,NorthCaro,NorthCarolina
4,Virginia,Virginias
5,Ho,Holshouser Building
6,N C,N.C.
7,Le,Leland
8,Le,Leland
9,Le,Leland
10,Carter,Carteret
11,Carolina,Carolinas
12,SouthC,SouthCarolina
13,NorthC,NorthCarolina
14,NC VA,NC VA
15,Al,Albemarle
16,Pam,Pamlico
17,Pam,Pamlico rivers
18,us,usa
19,na,nashville
20,U S,U.S.
21,East Mecklenburg,East Mecklenburg HS
22,U S,U.S.
23,Carolina,Carolinas
24,CO,CONWAY
25,NorthC,NorthCarolina
26,Carolina,Carolinas
27,NorthCaro,NorthCarolina
28,S C,S.C.
29,N C,N.C.
30,SouthCaro,SouthCarolina
31,NorthC,NorthCarolina
32,East,EastCoast
33,NewY,NewYork
34,CAL,CAROLINA
35,NorthCaro,NorthCarolina
36,NorthCaro,NorthCarolina
37,SouthC,SouthCarolina
38,N TR,N TRYON ST north
39,NorthC,NorthCarolina
40,Carolina,Carolinas
41,Carolina,Carolinas
42,SouthCaro,SouthCarolina
43,NorthC,NorthCarolina
44,Carolina,Carolinas
45,Carolina,Carolina Coast
46,Boston VA Yanceyville NC Halifax VA,Boston VA
47,Carolina,Carolinas
48,Sand,Sandhills
49,Carolina,Carolinas
50,ELM CIT,ELM CITY
51,NorthCaro,NorthCarolina
52,SouthCaro,SouthCarolina
53,CH,CHURCHVILLE
54,AU,AUGUSTA COUNTY
55,South Carolina,South Carolinaan
56,North Carol,North Carolinians
57,U S,U.S.
58,Down,Down East
59,NC VA,NC VA
60,N C,N.C.
61,N C,N.C.
62,Carolina,Carolinas
63,U,U.S
64,northcarolin,northcarolina
65,southcarolin,southcarolina
66,Blue Ridge,Blue Ridge Monday
67,U S,U.S.
68,Carolina,Carolinas
69,Carolina,Carolinas
70,300 CER PT B,300 CEDAR POINT BLVD
71,Lok,Lokoja
72,Carolina,Carolinas
73,Montgomery,Montgomery Co
74,U S,U.S.
75,NorthC,NorthCarolina
76,Jones,JonesCounty
77,Hyde,HydeCounty
78,NC SC,NC SC
79,Carolina,Carolinas
80,Carolina,Carolinas
81,Carolina,Carolinas
82,U S,U.S.
83,H,HOLDEN BEACH
84,N C,N.C.
85,ATLA,ATLANTA
86,U S,U.S.
87,Dear Carolina,Dear Carolinas
88,Carolina,Carolinas
89,the Carolina,the Carolinas
90,Ha,Harkers Island
91,Carolina,Carolina coast
92,Carolina,Carolinas
93,Carolina,Carolinas
94,Carolina,Carolinas
95,Lou,Loudoun
96,San Juan,San Juans
97,n,nc
98,northcarolin,northcarolina
99,southcarolin,southcarolina
100,f,fayettevillenc
101,SouthCaro,SouthCarolina
102,Ch,Cheraw
103,Great P,Great Pee Dee River
104,NC,NCs
105,Carolina,Carolinas
106,Carolina,Carolinas
107,Carolina,Carolinas
108,U S,U.S.
109,North,Northland
110,City,"City Hall, 300 Pollock St"
111,LO,LOUISIANA
112,LO,LOUISIANA
113,Le,Leland
114,U S,U.S.
115,North Carolina,North Carolinas
116,northcarolin,northcarolina
117,jack,jacksonville
118,co,columbia
119,West Virginia,West Virginia.
120,Carolina,Carolinas
121,D,D.C.
122,N C,N.C.
123,North Carol,North Carolinians
124,Carolina,Carolinas
125,Low,Lowcountry
126,E,Etlan
127,ET,ETLAN
128,SouthCaro,SouthCarolina
129,B,Burgaw
130,Carolina,Carolinas
131,Washington D C,"Washington, D.C."
132,NorthCaro,NorthCarolina
133,NorthC,NorthCarolina
134,SouthCaro,SouthCarolina
135,U S,U.S.
136,N C,N.C.
137,Carolina,Carolinas
138,NorthCaro,NorthCarolina
139,SouthCaro,SouthCarolina
140,Carolina,Carolinas
141,Virginia,Virginias
142,SouthCaro,SouthCarolina
143,NorthC,NorthCarolina
144,O,OVERLAKE ROAD
145,Myers S,Myers Squibb
146,Carolina,Carolinas
147,Carolina,Carolinas
148,Cumberland Co,Cumberland Co.
149,Carolina,Carolinas
150,Capital,Capital District
151,W,WILMINGTON
152,N C,N.C.
153,Carolina,Carolinas
154,More,Morehead City
155,Carolina,Carolinas
156,NC,NC-
157,O,Ocracoke
158,Poll,Pollocksville
159,U S,U.S.
160,Carolina,Carolinas
161,Puerto,PuertoRico
162,H,HARTSVILLE
163,D,DARLINGTON
164,NO,NORTH CAROLINA
165,U S,U.S.
166,Virginia,Virginia Beach
167,Carolina,Carolinas
168,U S,U.S.
169,N C,N.C.
170,Carolina,Carolinas
171,NorthC,NorthCarolina
172,Carolina,Carolinas
173,Carolina,Carolinas
174,U S,U.S.
175,Carolina,Carolinas
176,Le,Leland
177,NorthCaro,NorthCarolina
178,U S,U.S.
179,Carolina,Carolinas
180,Carolina,Carolinas
181,Carolina,Carolinas
182,NorthCaro,NorthCarolina
183,SouthC,SouthCarolina
184,Carolina,Carolinas
185,CA,CAROLINAS
186,Sgo Crk Pkwyy Branch Rd,Sligo Crk Pkwy Both NB/SB between Piney Branch Rd and Maple Ave
187,Swan,Swansboro
188,SouthC,SouthCarolina
189,kaiko,kaikoura
190,C,Clutha District
191,Kaiko,Kaikoura
192,Kaiko,Kaikoura
193,NewZ,NewZealand
194,p,picton
195,n,nz
196,W,WLGN
197,Kai,Kairoura
198,Kaiko,Kaikoura
199,South,SouthIsland
200,Kaiko,Kaikoura
201,Wellington,Wellingtons
202,Ke,Kekerengu
203,Kaiko,Kaikoura
204,br,brooklyn
205,C,Culverden.#eqnz
206,Pi,Picton
207,NewZ,NewZealand
208,Tarana,Taranaki
209,NewZ,NewZealand
210,Pa,Parnassus
211,well,wellington
212,Wellington,Wellingtons
213,NewZeal,NewZealand
214,Kaiko,Kaikoura
215,Se,Seddon
216,NewZ,NewZealand
217,NewZ,NewZealand
218,NewZ,NewZealand
219,NewZ,NewZealand
220,New Zealand,New Zealands
221,Op,Opotiki
222,New Zealand,New Zealands
223,Centre,Centreport
224,C,Culverden
225,Ch,Cheviot
226,NO,NORTH ISLAND
227,Ch,Cheviot
228,kaiko,kaikoura
229,New Zealand,New Zealands
230,NewZeal,NewZealand
231,NewZ,NewZealand
232,NE Z,NEW ZEALAND
233,New Zealand,New Zealands
234,Kaiko,Kaikoura
235,L,Lyall Bay
236,NewZ,NewZealand
